x,y,z
5001.39,4011.371,7.605
5023.593,3148.407,5.969
5062.412,2771.948,5.255
5077.788,2334.925,4.427
5108.789,2360.391,4.475
5504.201,3145.278,5.963
5631.34,2196.913,4.165
5758.539,4665.453,8.845
6286.363,4114.674,7.801
6708.196,34071.052,64.597
6729.359,27880.746,52.86
6839.071,5535.588,10.495
6932.847,41413.024,78.517
7780.796,3452.343,6.545
7922.773,50875.975,96.458
7949.024,17021.946,32.273
8016.942,5050.915,9.576
8097.467,4907.51,9.304
8118.166,7587.217,14.385
8169.547,19532.22,37.032
8791.975,6741.296,12.781
9102.313,2165.391,4.105
9293.351,2126.677,4.032
9564.279,2904.479,5.507
11194.313,3703.433,7.022
13385.801,52744.117,100.0
13428.74,40813.311,77.38
13589.871,4544.431,8.616
13634.632,6640.281,12.59
13689.753,3176.963,6.023
13923.698,2723.859,5.164
